fdc_id,description,calories,protein_g,fat_g,carbs_g
2187885,CHICKEN BREAST,165.0,20.4,8.1,1.06
2092152,CHICKEN BREAST,143.0,14.3,8.93,3.57
2055943,CHICKEN BREAST,107.0,21.4,1.79,0.0
2125872,CHICKEN BREAST,107.0,19.6,1.79,1.79
2096160,CHICKEN BREAST,96.0,11.4,4.16,5.71
2066523,CHICKEN BREAST,116.0,17.0,2.23,3.57
2279206,CHICKEN BREAST,107.0,21.4,1.79,0.0
1935739,CHICKEN BREAST,92.0,18.4,1.02,2.04
2620738,CHICKEN BREAST,107.0,17.9,2.68,1.79
1648039,CHICKEN BREAST,107.0,17.9,1.79,3.57
2759004,"Lunchmeat, chicken breast, sliced",,,,
2705964,"Chicken breast, rotisserie, skin not eaten",144.0,28.04,3.57,0.0
171515,"Chicken breast tenders, breaded, uncooked",1100.0,14.7,15.8,15.0
174608,"Chicken breast, roll, oven-roasted",562.0,14.6,7.65,1.79
2705963,"Chicken breast, rotisserie, skin eaten",175.0,26.37,7.67,0.09
2705971,"Chicken breast, sauteed, skin eaten",206.0,25.72,10.62,0.0
2705972,"Chicken breast, sauteed, skin not eaten",176.0,29.62,5.45,0.0
2705965,"Chicken breast, stewed, skin eaten",181.0,24.7,8.28,0.0
2705966,"Chicken breast, stewed, skin not eaten",149.0,27.96,3.26,0.0
2646170,"Chicken, breast, boneless, skinless, raw",,22.5,1.93,0.0
356554,RICE,139.0,3.47,2.43,26.4
2077766,RICE,356.0,6.67,0.0,77.8
356582,RICE,356.0,6.67,0.0,80.0
1888780,RICE,356.0,6.67,0.0,80.0
2021679,RICE,340.0,6.38,0.0,78.7
2116789,RICE,333.0,6.67,0.0,75.6
2443255,RICE,356.0,6.67,0.0,80.0
2709078,Dirty rice,112.0,5.12,2.25,17.25
2709089,Rice dressing,110.0,1.98,3.29,17.61
2708163,"Crackers, rice",416.0,10.0,5.0,82.64
2708166,Rice paper,323.0,5.91,1.11,72.26
2709077,Rice pilaf,137.0,3.29,3.03,24.08
2708162,Rice cake,392.0,7.1,4.3,81.1
2708161,"Chips, rice",384.0,8.2,2.8,81.5
2708958,"Adobo, with rice",181.0,17.69,7.94,8.86
2707794,"Bread, rice",248.0,4.31,5.24,45.78
2708415,Cream of rice,69.0,1.17,0.09,15.28
2706726,Gumbo with rice,89.0,8.16,3.43,6.55
2706879,"Gumbo, no rice",83.0,8.54,3.68,4.03
2705685,"Pudding, rice",108.0,3.23,2.15,18.39
2575290,EGG,513.0,6.41,28.8,57.7
2171141,EGG,367.0,0.0,0.0,90.0
2677671,EGG,159.0,11.4,11.4,2.27
747997,"Eggs, Grade A, Large, egg white",55.0,10.7,0.0,2.36
748967,"Eggs, Grade A, Large, egg whole",617.0,12.4,9.96,0.96
748236,"Eggs, Grade A, Large, egg yolk",1400.0,16.2,28.8,1.02
2707180,"Egg, Benedict",288.0,13.81,22.1,8.48
2707179,"Egg, creamed",148.0,7.79,10.35,5.52
2707181,"Egg, deviled",198.0,11.52,15.9,1.07
174901,"Bagels, egg",278.0,10.6,2.1,53.0
172673,"Bread, egg",287.0,9.5,6.0,47.8
2708984,"Congee, with egg",60.0,3.12,2.06,6.91
2707343,Egg burrito,249.0,10.91,13.71,20.06
2708597,"Quesadilla, egg",249.0,10.91,13.71,20.06
2708602,"Taquito, egg",281.0,9.9,13.56,29.25
2707201,"Egg omelet or scrambled egg, made with butter",182.0,11.61,14.64,0.9
2707199,"Egg omelet or scrambled egg, made with margarine",171.0,11.57,13.52,0.95
